TimeDate,KP,DCC (m),Easting (m),Northing (m),TOP (m),BOP (m),MADJ (m),MSBL (m),DOC (m),DOL (m),Comment
14/08/2017,0.207,-1.93,335712.59,6464362.97,141.72,141.99,141.76,141.68,-0.04,0.04,
14/08/2017,0.208,-1.93,335711.58,6464362.8,141.69,141.96,141.75,141.65,-0.06,0.04,
14/08/2017,0.209,-1.93,335710.6,6464362.64,141.66,141.94,141.72,141.65,-0.06,0.01,
14/08/2017,0.21,-1.94,335709.65,6464362.47,141.64,141.91,141.7,141.58,-0.06,0.06,
14/08/2017,0.211,-1.94,335708.64,6464362.28,141.61,141.89,141.71,141.56,-0.1,0.05,
14/08/2017,0.212,-1.96,335707.71,6464362.09,141.59,141.86,141.68,141.59,-0.09,0,
14/08/2017,0.213,-1.99,335706.67,6464361.87,141.57,141.84,141.62,141.54,-0.05,0.03,
14/08/2017,0.214,-2.02,335705.76,6464361.68,141.54,141.82,141.61,141.52,-0.07,0.02,
14/08/2017,0.215,-2.04,335704.72,6464361.46,141.53,141.8,141.59,141.49,-0.06,0.04,
14/08/2017,0.22,-2.07,335699.83,6464360.45,141.44,141.72,141.56,141.51,-0.12,-0.07,
14/08/2017,0.221,-2.06,335698.9,6464360.26,141.43,141.7,141.68,141.48,-0.25,-0.05,
14/08/2017,0.222,-2.05,335697.83,6464360.05,141.41,141.68,141.72,141.45,-0.31,-0.04,
14/08/2017,0.223,-2.05,335696.84,6464359.85,141.39,141.67,141.72,141.44,-0.33,-0.05,
14/08/2017,0.224,-2.05,335695.91,6464359.65,141.38,141.65,141.7,141.44,-0.32,-0.06,
14/08/2017,0.225,-2.07,335694.93,6464359.43,141.37,141.64,141.69,141.42,-0.32,-0.05,
14/08/2017,0.226,-2.09,335693.93,6464359.2,141.36,141.63,141.7,141.44,-0.34,-0.08,
14/08/2017,0.227,-2.04,335692.87,6464358.98,141.34,141.62,141.62,141.4,-0.28,-0.06,
14/08/2017,0.228,-1.99,335691.99,6464358.8,141.33,141.61,141.45,141.41,-0.12,-0.08,
14/08/2017,0.229,-1.92,335690.99,6464358.62,141.32,141.59,141.45,141.43,-0.13,-0.11,
14/08/2017,0.23,-1.83,335690,6464358.46,141.3,141.58,141.39,141.25,-0.09,0.05,
14/08/2017,0.231,-1.75,335689.01,6464358.29,141.29,141.56,141.42,141.23,-0.13,0.06,
14/08/2017,0.233,-1.64,335687.97,6464358.09,141.27,141.54,141.58,141.36,-0.31,-0.09,
